Covid Deaths,State
New Jersey: 267,NJ
New York: 248,NY
Rhode Island: 242,RI
Massachusetts: 240,MA
Mississippi: 231,MI
Arizona: 226,AZ
Connecticut: 218,CT
South Dakota: 215,SD
Louisiana: 211,LA
Alabama: 210,AL
North Dakota: 195,ND
Pennsylvania: 192,PA
Indiana: 190,IN
New Mexico: 183,NM
Illinois: 182,IL
Arkansas: 179,AR
Iowa: 178,IA
South Carolina: 171,SC
Tennessee: 169,TN
Michigan: 167,MI
Kansas: 167,KS
Georgia: 165,GA
Nevada: 165,NV
Texas: 159,TX
Delaware: 153,DE
Ohio: 151,OH
Florida: 149,FL
District of Columbia: 147,DC
Missouri: 142,MO
California: 140,CA
Maryland: 133,MD
West Virginia: 130,WV
Montana: 130,MO
Wisconsin: 123,WI
Minnesota: 120,MN
Wyoming: 119,WY
Oklahoma: 119,OK
Virginia: 116,VA
Nebraska: 115,NE
Kentucky: 113,KY
North Carolina: 111,NC
Idaho: 107,ID
Colorado: 106,CO
New Hampshire: 88,NH
Washington: 68,WA
Utah: 63,UT
Oregon: 55,OR
Maine: 54,ME
Alaska: 40,AK
Vermont: 34,VT
Hawaii: 31,HI
